url,final_url,path,template,http_status,in_sitemap,indexable,intentional_noindex,json_ld_block_count,schema_types,schema_issue_count,broken_image_urls,issues,pass,error
https://www.kinexisdigital.com/en/services/ppc-management,https://www.kinexisdigital.com/en/services/ppc-management,/en/services/ppc-management,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/ppc-management,https://www.kinexisdigital.com/es/services/ppc-management,/es/services/ppc-management,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/google-ads,https://www.kinexisdigital.com/en/services/google-ads,/en/services/google-ads,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/google-ads,https://www.kinexisdigital.com/es/services/google-ads,/es/services/google-ads,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/meta-ads,https://www.kinexisdigital.com/en/services/meta-ads,/en/services/meta-ads,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/meta-ads,https://www.kinexisdigital.com/es/services/meta-ads,/es/services/meta-ads,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/web-design,https://www.kinexisdigital.com/en/services/web-design,/en/services/web-design,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/web-design,https://www.kinexisdigital.com/es/services/web-design,/es/services/web-design,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/email-marketing,https://www.kinexisdigital.com/en/services/email-marketing,/en/services/email-marketing,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/email-marketing,https://www.kinexisdigital.com/es/services/email-marketing,/es/services/email-marketing,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/content-marketing,https://www.kinexisdigital.com/en/services/content-marketing,/en/services/content-marketing,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/content-marketing,https://www.kinexisdigital.com/es/services/content-marketing,/es/services/content-marketing,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/social-media,https://www.kinexisdigital.com/en/services/social-media,/en/services/social-media,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
